Economy (GDP per Capita),Health (Life Expectancy),Freedom,Generosity,Happiness Score
0.82827,0.63793,0.46611,0.51535,5399.00
0.63216,0.74676,0.59444,0.1686,5360.00
1.06098,0.73172,0.22815,0.12253,5332.00
0.47428,0.65088,0.43477,0.3003,5286.00
0.65435,0.16007,0.34334,0.27233,5268.00
0.77042,0.57407,0.53206,0.47998,5253.00
1.02389,0.64045,0.3703,0.07799,5212.00
0.59543,0.51466,0.12102,0.33671,5194.00
0.90198,0.69639,0.40661,0.11053,5192.00
0.97438,0.72521,0.1826,0.1614,5192.00
0.89012,0.81658,0.51697,0.08185,4140.00
0.47038,0.29924,0.48827,0.19591,5129.00
1.04345,0.7689,0.35068,0.13748,5124.00
0.92053,0.74836,0.20107,0.19231,5123.00
1.15991,0.87519,0.51469,0.13719,5102.00
1.11312,0.72437,0.29671,0.18226,5098.00
0.70532,0.58114,0.62545,0.24991,5073.00
0.18847,0.43873,0.46582,0.50318,5057.00
0.73479,0.60954,0.41691,0.07172,5013.00
0.91851,0.73545,0.33457,0.22359,5007.00
0.08308,0.09131,0.34037,0.22269,4971.00
0.87867,0.81325,0.35733,0.14272,4959.00
0.83223,0.79081,0.09245,0.24808,4949.00
0.37545,0.07612,0.31767,0.16388,4898.00
0.89537,0.66825,0.57672,0.21684,4885.00
0.59066,0.54909,0.59591,0.42192,4876.00
0.82819,0.60268,0.43626,0.3323,4874.00
0.71206,0.07566,0.30658,0.18259,4867.00
1.15406,0.88213,0.07699,0.00,4857.00
1.02564,0.83947,0.33916,0.21854,4839.00
1.12094,0.75905,0.32112,0.13,4800.00
0.59532,0.6951,0.40148,0.23027,4788.00
0.39047,0.57379,0.47216,0.22974,4786.00
0.88113,0.73793,0.26268,0.06431,4739.00
0.59867,0.66015,0.24499,0.11251,4715.00
0.39753,0.60164,0.4082,0.21222,4694.00
1.0088,0.69805,0.30033,0.38086,4686.00
0.79907,0.6739,0.25123,0.15275,4681.00
0.98549,0.60237,0,0.17922,4677.00
0.92049,0.27688,0.33207,0.11973,4642.00
0.54558,0.40132,0.42342,0.23087,4633.00
0.27,0.33475,0.25861,0.18987,4610.00
0.0712,0.34201,0.28531,0.24362,4571.00
0.64499,0.51529,0.39786,0.26475,4565.00
0.52107,0.36878,0.10081,0.19062,4550.00
0.26673,0.38847,0.24425,0.46187,4518.00
0.00,0.09806,0.22605,0.24834,4517.00
0.35997,0.56874,0.38282,0.32296,4514.00
0.19073,0.44055,0.4345,0.24325,4512.00
0.33024,0,0.4084,0.21488,4507.00
0.45407,0.35874,0.24232,0.22,4436.00
0.36471,0.41435,0.42215,0.37542,4419.00
0.44025,0.36291,0.46074,0.18093,4369.00
0.76821,0.7299,0.19847,0.07855,4350.00
0.99355,0.04776,0.49495,0.10461,4332.00
0.27108,0.48246,0.44017,0.79588,4307.00
0.7419,0.72926,0.40577,0.05547,4297.00
0.01604,0.22562,0.43054,0.33128,4292.00
0.83524,0.70806,0.53726,0.40828,4271.00
0.4225,0.23402,0.49309,0.20618,4252.00
1.01216,0.76649,0.30587,0.11921,4218.00
0.8818,0.61712,0.17288,0.11291,4194.00
0.54649,0.40064,0.35571,0.09131,4077.00
0.75778,0.16683,0.10384,0.12344,4033.00
0.26074,0.20583,0.38857,0.18798,3995.00
0.67866,0.31051,0.41466,0.12388,3989.00
0.23906,0.36315,0.22917,0.17441,3956.00
0.21102,0.33861,0.45727,0.29066,3931.00
0.36498,0.4354,0.36772,0.20843,3904.00
1.06024,0.43372,0.31914,0.06822,3896.00
0.0694,0.29707,0.47692,0.19387,3845.00
0.46038,0.61114,0.66246,0.40359,3819.00
0.2852,0.38215,0.32878,0.34377,3781.00
0.20824,0.46721,0.19184,0.21333,3681.00
0.0785,0.06699,0.48879,0.23835,3678.00
0.34193,0.1501,0.23501,0.18386,3667.00
0.17417,0.24009,0.37725,0.28657,3656.00
0.46534,0.15185,0.46866,0.20165,3655.00
0.25812,0.27125,0.39493,0.21747,3587.00
0.31982,0.30335,0.23414,0.3651,3575.00
0.22208,0.42864,0.59201,0.22628,3465.00
0.28665,0.3191,0.4845,0.1826,3340.00
0.6632,0.72193,0.15684,0.47179,3006.00
0.0153,0.22396,0.1185,0.19727,2905.00
0.20868,0.28443,0.36453,0.16681,2839.00
