V2,V3,V4,V5,V6,V1
4,135,84,2385,12.9,30
4,86,64,1875,16.4,39
4,105,63,2215,14.9,34.7
4,105,63,2125,14.7,38
8,455,225,4425,10,14
8,400,175,4464,11.5,14
8,400,175,5140,12,13
6,250,100,3282,15,19
8,400,175,4385,12,14
8,400,230,4278,9.5,16
8,400,170,4668,11.5,16
4,140,78,2592,18.5,23
6,250,110,3645,16.2,18.5
8,400,180,4220,11.1,16
4,151,88,2740,16,24.5
6,231,105,3535,19.2,19.2
6,231,115,3245,15.4,21.5
4,151,90,2556,13.2,33.5
4,112,85,2575,16.2,31
4,151,90,2735,18,27
4,107,90,2430,14.5,24
4,114,91,2582,14,20
4,98,83,2219,16.5,29
4,115,95,2694,15,23
5,131,103,2830,15.9,20.3
4,97,78,2188,15.8,34.3
5,121,67,2950,19.9,36.4
4,121,113,2234,12.5,26
4,121,110,2600,12.8,21.5
4,88,76,2065,14.5,30
4,98,90,2265,15.5,26
4,68,49,1867,19.5,29
4,90,75,2108,15.5,24
4,116,75,2246,14,26
4,79,67,2000,16,31
4,107,86,2464,15.5,28
4,91,69,2130,14.7,37.3
5,183,77,3530,20.1,25.4
6,168,120,3820,16.7,16.5
4,146,67,3250,21.8,30
4,116,90,2123,14,28
4,116,75,2158,15.5,24
4,97,78,2300,14.5,26
4,116,81,2220,16.9,25
4,110,87,2672,17.5,25
4,79,70,2074,19.5,30
4,120,87,2979,19.5,21
4,120,88,2957,17,23
4,120,88,3270,21.9,19
6,163,133,3410,15.8,16.2
4,141,71,3190,24.8,27.2
4,141,80,3230,20.4,28.1
4,96,69,2189,18,26
4,101,83,2202,15.3,27
4,79,58,1825,18.6,36
4,85,NA,1835,17.3,40.9
4,100,NA,2320,15.8,34.5
4,104,95,2375,17.5,25
4,121,110,2660,14,24
4,121,115,2671,13.5,25
4,121,115,2795,15.7,21.6
4,122,88,2500,15.1,35
4,89,62,1845,15.3,29.8
4,97,46,1835,20.5,26
4,97,60,1834,19,27
4,97,54,2254,23.5,23
4,121,76,2511,18,22
4,97,46,1950,21,26
4,79,67,1963,15.5,26
4,90,71,2223,16.5,25
4,90,70,1937,14,29
4,97,71,1825,12.2,29.5
4,97,78,1940,14.5,29
4,97,78,2190,14.1,30.5
4,90,48,1985,21.5,43.1
4,89,71,1990,14.9,31.5
4,105,74,2190,14.2,33
4,105,74,1980,15.3,36
4,121,112,2933,14.5,18
4,121,112,2868,15.5,19
4,121,98,2945,14.5,22
4,130,102,3150,15.7,20
6,163,125,3140,13.6,17
6,145,76,3160,19.6,30.7
4,90,70,1937,14.2,29
4,89,71,1925,14,31.9
4,98,76,2144,14.7,41.5
4,90,48,2085,21.7,44.3
4,90,48,2335,23.7,43.4
4,97,52,2130,24.6,44
4,97,88,2130,14.5,27
4,97,88,2130,14.5,27
4,72,69,1613,18,35
4,97,92,2288,17,28
4,108,94,2379,16.5,22
4,79,67,1950,19,31
4,83,61,2003,19,32
4,119,97,2545,17,24
4,85,70,1990,17,32
4,85,70,1945,16.8,33.5
6,146,97,2815,14.5,22
4,85,70,2070,18.6,39.4
4,119,97,2300,14.7,27.2
4,119,97,2405,14.9,23.9
4,85,65,2020,19.2,31.8
4,86,65,2019,16.4,37.2
4,119,92,2434,15,37
4,85,65,2110,19.2,40.8
6,168,132,2910,11.4,32.7
4,85,65,1975,19.4,37
4,119,100,2615,14.8,32.9
6,146,120,2930,13.8,24.2
4,91,67,1995,16.2,38
4,120,97,2489,15,24
4,91,53,1795,17.5,33
4,91,53,1795,17.4,33
4,98,68,2045,18.5,31.5
4,91,60,1800,16.4,36.1
4,98,68,2135,16.6,29.5
4,91,67,1850,13.8,44.6
4,107,72,2290,17,32.4
4,81,60,1760,16.1,35.1
4,107,75,2210,14.4,33.7
4,107,75,2205,14.5,36
4,91,67,1965,15,38
4,91,67,1965,15.7,32
3,70,90,2124,13.5,18
4,86,65,1975,15.2,34.1
3,70,97,2330,13.5,19
3,80,110,2720,13.5,21.5
4,78,52,1985,19.4,32.8
4,120,75,2542,17.5,31.3
4,86,65,2110,17.9,46.6
3,70,100,2420,12.5,23.7
4,91,68,1985,16,34.1
4,120,74,2635,18.3,31.6
4,91,68,2025,18.2,37
4,91,68,1970,17.6,31
4,120,88,2160,14.5,36
4,97,67,1985,16.4,30
4,97,67,2145,18,33.8
4,108,93,2391,15.5,26
4,97,67,2065,17.8,32.3
4,113,95,2372,15,24
4,113,95,2228,14,25
4,71,65,1773,19,31
4,113,95,2278,15.5,24
4,97,88,2100,16.5,27
4,97,88,2279,19,20
6,156,122,2807,13.5,20
4,71,65,1836,21,32
4,76,52,1649,16.5,31
4,97,75,2171,16,29
4,134,96,2702,13.5,24
4,97,75,2155,16.4,28
6,156,108,2930,15.5,19
4,97,75,2265,18.2,26
4,134,95,2560,14.2,27.5
4,134,95,2515,14.8,21.1
4,89,60,1968,18.8,38.1
4,134,90,2711,15.5,29.8
4,108,75,2265,15.2,32.2
4,79,58,1755,16.9,39.1
4,89,62,2050,17.3,37.7
4,108,75,2350,16.8,32.4
6,168,116,2900,12.6,25.4
4,108,70,2245,16.9,34
4,144,96,2665,13.9,32
4,120,97,2506,14.5,23
